Name                         Score      Rank   T.Score    T.Rank
defenestrate                86.745       368       615       653
frostedmuffins              85.802       369      1707       229
cabbagehands                85.779       370      2102       150
frisk                       85.722       371      1266       336
swippen                     85.623       372      1028       413
snubmonkey                  85.328       373      1650       242
ganima                      84.881       374       933       456
bionic                      84.566       375      1120       380
joedirt                     83.249       376      1220       348
supernewton                 82.990       377      1627       246
exaltedone87                82.459       378       421       799
highschoolglrl              82.200       379      1430       294
100p                        82.030       380       551       684
alcopop                     82.004       381      1314       327
gaball                      81.543       382      1587       257
zooty                       81.073       383       998       427
m022495                     80.225       384       925       462
moonhoon                    79.863       385      1557       264
syranez                     79.755       386      1793       201
rephenryclay                79.729       387       950       452
wazuzu                      79.079       388       730       577
komo4ek                     78.743       389      1004       423
belegose                    78.420       390      1267       335
cephied0                    78.020       391      1158       367
kamikatze                   77.925       392      1505       275
blobert                     77.587       393      1347       320
eyebeam                     77.527       394       807       530
theonedm                    77.311       395      1494       279
vaamat                      76.758       396       477       750
hilariousdeathartist        76.668       397       571       674
djent                       76.552       398       431       791
ranzir                      75.968       399      1367       311
apogee                      75.755       400       862       498
godzillablitz               75.634       401       995       430
plasmagod                   75.500       402       497       728
torax                       75.489       403       321       974
cryingnoob                  75.403       404       542       689
ditheos                     75.398       405       634       640
kwakdy1322                  75.312       406       861       499
coolio                      75.308       407       521       702
skk                         75.225       408       682       609
onlghost                    75.211       409       566       677
mistymad                    75.110       410      1179       360
lanoc                       74.858       411       489       731
almightybob                 74.839       412      1828       195
sayani                      74.713       413      1714       224
tijit                       74.681       414      1900       183
simonmoon                   74.579       415      1463       286
vegansnacktivist            74.480       416      1128       378
grimm                       74.301       417      1371       309
dpeg                        74.157       418       517       705
acetwo5                     73.892       419      1500       277
grisnicke                   73.750       420      1690       233
merphle                     72.774       421      1058       399
cadash                      72.316       422       515       708
cthulhuhoop                 71.710       423      1345       321
snelelg                     71.578       424       986       432
fatvalkilmer                71.514       425       986       432
tempest                     71.457       426       618       651
antisprigganmachine         71.442       427       984       435
voodoofly                   70.610       428       589       667
soloshadow                  70.550       429       503       719
dmnsn                       70.433       430       642       637
gammafunk                   70.427       431      1518       272
malcolmrose                 70.395       432       932       458
remembernootab              70.259       433       352       914
marsh                       69.717       434       570       675
dirian                      69.565       435      1241       340
nht                         69.126       436       775       554
syrinius                    68.583       437       984       435
hiramatsu11                 68.578       438      1700       231
chrysalis                   68.568       439      1295       328
jerbear56                   67.963       440      1106       386
kenny                       67.950       441      1036       410
quantumfuzzball             67.665       442      1280       331
cinornu                     67.252       443       672       616
jiveturtle                  67.059       444      1540       267
emtedronai                  66.932       445      1161       364
guywithaplan                66.764       446       345       928
hairmachine                 66.512       447      1214       350
happysmile16                66.376       448       235      1158
polly                       66.236       449       730       577
agooddog                    66.193       450      1758       211
plussizemalemodel           65.995       451       446       773
hawkwood                    65.787       452       802       532
biffmalibu                  65.748       453       719       584
airwolf                     65.738       454      1083       394
righteousdevil              65.717       455       850       506
squigly                     65.715       456       467       758
greynaab                    65.648       457      1237       342
lucai                       65.626       458       488       732
ixlyth                      65.620       459      1383       305
pomescollege                65.465       460      1561       261
roak                        65.005       461      1540       267
mrdna                       64.938       462       476       751
zeldest                     64.740       463       581       671
legendaryferret             64.685       464      1417       297
sscrono2                    64.255       465       398       835
gompami                     63.698       466      1377       307
xight                       63.679       467       526       700
torious                     63.515       468       426       797
walruslord                  63.514       469       595       663
averagebear                 63.506       470       828       517
omnomnominous               63.339       471       432       790
escy                        63.228       472      1350       319
azzazzello                  62.652       473      1265       337
victoriouslee               62.482       474       397       838
hosung                      62.439       475      1113       383
newuser                     61.862       476       555       681
enarc13                     61.818       477       948       453
vintevios                   61.460       478       180      1326
myplmy                      61.285       479       549       686
leibowitz                   61.166       480       319       981
agrougrou                   61.026       481       886       481
cerealjynx                  60.950       482       645       634
violetgray                  60.025       483       882       483
pantsmackenzie              59.909       484      1159       366
firemonkey                  59.892       485       482       743
nihilverum                  59.757       486      1039       407
aubilenon                   59.749       487      1491       280
jehirs                      59.577       488       810       527
mathmaestro                 59.526       489       712       593
stpyramids                  59.494       490       459       762
orthodox                    59.445       491       750       567
shmeve                      59.321       492       225      1187
febz                        59.061       493       210      1228
glorfindel                  58.919       494       293      1030
archon2                     58.745       495       763       563
jatast                      58.653       496      1273       334
pushok                      58.419       497       274      1077
nubinia                     58.367       498       388       852
whaleporn                   58.200       499       329       957
arthad                      58.176       500       689       604
fearthechris                58.110       501       976       442
calypsia                    58.084       502      1024       415
artagas                     58.046       503      1666       238
salmon                      57.913       504       668       619
sponrad                     57.893       505      1006       421
squip                       57.855       506       584       670
sollaires                   57.844       507      1027       414
mirrmurr                    57.559       508      1135       376
sar                         57.544       509       789       544
cardtrick                   57.435       510       859       502
izverg                      57.403       511       165      1376
stillpimpin                 57.396       512       581       671
2017koboldassassin          57.396       513       215      1214
8fpsbossfight               57.190       514       795       537
tosi1                       57.145       515       535       693
flord                       57.142       516      1134       377
drmcmeen                    56.968       517       348       921
pkoi                        56.884       518      1043       405
mousus6                     56.884       519       375       873
woodford                    56.833       520      1627       246
dweomer                     56.797       521      1319       326
danakh                      56.657       522       125      1528
garrluk                     56.618       523       699       600
emerc2                      56.602       524       790       542
reptisaurus                 56.451       525       604       656
enhl                        56.036       526       781       551
coolguy69                   55.648       527       438       787
bapho                       55.230       528       403       828
wehk                        55.196       529      1369       310
pawles22                    54.506       530       594       664
