"Name","Score","Rank","T.Score","T.Rank","player1","player2","player3","player4","player5","player6","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III"
"Kimchi Them All (ajaj)",466.695,31,9472,16,"ajaj","cinornu","moonokgonju","n103509","watermold",NA,"","","X","","","","","X","","","","X","","X","","","X","","","X","","","X","","","","X","X","","","X","","","","","X","","","X","","","X","","X","","X","","","X","","","","","X","","","","X","","","","","","","","X","","","X","","","X"
"cats-n-pigs (mirrmurr)",455.101,32,3988,65,"mirrmurr","magipi",NA,NA,NA,NA,"","","X","X","","","","X","","X","","","","X","","","X","","","X","","","X","","","","X","X","","","X","","","","X","","","X","","","","X","","","X","X","","","","X","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"K2 (kamikatze)",452.352,33,11176,13,"kamikatze","roak","somebody","thaneod","lansh","punpun","","","X","X","","","","X","","","","X","","X","","","X","","","X","","X","","","","","X","X","","","X","","","","","X","X","","","","X","","","X","","X","","","X","","","","","X","","","","X","","","X","","","","","X","","","X","","","X"
"YOBA (theanonym)",446.835,34,10457,14,"theanonym","iwannabefree","plasmagod","tovarisch","ldf","wazuzu","","","X","X","","","","X","","","X","","","X","","","X","","","X","","X","","","","","X","X","","","X","","","","X","","","","X","","X","","","","X","X","","","X","","","","X","","X","","","X","","","","","","","","X","","","X","","","X"
"Dream SheepleZzz (lokibrotherofthor)",442.608,35,8303,24,"lokibrotherofthor","mrdna","uhlv","cephied0","pedant","taran","","","X","X","","","","X","","","","X","","X","","","X","","","X","","","X","","","","X","X","","","X","","","","X","","X","","","","X","","X","","","","","X","","X","","","X","","","","","X","","","","","","X","","","","X","","","","X"
"Dope Dorks Diving Dank Dungeons (lukano)",430.273,36,8598,21,"lukano","thenoid","neckro23","odiv","slitherrr","staplegun","","","X","X","","","","","X","","X","","","X","","","X","","","X","","","","X","","","X","X","","","","","","","","X","","X","","","X","","","X","","X","","","X","","","","","X","","","","X","","","X","","","","X","","","X","","","","X"
"WDIFTL (backslashecho)",429.087,37,7055,33,"backslashecho","tab","gimp","moonpresence",NA,NA,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","","X","","","","X","X","","","X","","","","","X","","","X","","X","","","X","","","","X","X","","","","","X","X","","","X","","","","","","","X","","","X","","","","X"
"Azrael Is Our Greatest Ally (likado)",409.205,38,6608,37,"likado","exolun","jynri","sargx",NA,NA,"","","X","","","","","X","","","X","","","","X","","X","","","X","","","X","","","","X","","","","X","","","","","X","","X","","","","X","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"Spriggan Bakers (iksarhs)",406.073,39,5669,51,"iksarhs","episkeydeux","fargo","phindah","puffin",NA,"","X","","X","","","","X","","","X","","","X","","X","","","","X","","X","","","","","X","X","","","X","","","","","X","X","","","","","X","X","","","X","","","X","","","","X","","","X","","X","","","","","","","X","","","","X","","","X"
"Ereshkigals Exceptionally Eerie Egregiously Execrable Empire (happinesssam)",384.705,40,6794,34,"happinesssam","snubmonkey","sribri","ddubois","jebus","terrapin","","","X","X","","","X","","","","X","","","X","","","X","","","X","","","X","","","X","","X","","","X","","","","","X","X","","","","X","","","","","","","X","X","","","","X","","","","","X","","","X","","","","","X","","X","","","","X"
"D1 Jackals (chish)",372.783,41,3571,70,"chish","cryptlord","craycraysider",NA,NA,NA,"","","X","X","","","","X","","X","","","","X","","","X","","","X","","","","X","","","X","","","","X","","","","X","","","","X","","X","","","X","","","X","","X","","","","X","","","","","X","","","","","","","X","","","","X","","","X"
"Bay12 Champions (dani)",364.569,42,9034,19,"dani","awoo","absolon","escy","fakechuck","petestorm","","","X","X","","","X","","","X","","","","X","","","X","","","X","","","X","","","","X","X","","","X","","","","","X","","","X","","","X","","X","","","X","","X","","","","X","","","","","X","","","","","","","X","","","","X","","","X"
"CovfeFE (fallibilist)",347.479,43,7613,29,"fallibilist","cthulhuhoop","jackthecabe","moohaus","nino",NA,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","X","","","X","X","","","X","","","","","X","","","X","","X","","","X","","X","","","X","","","X","","","","","","","","","","","","","","X","","X","","","","X"
"Bring Back Everything (jerkstore)",343.729,44,5795,48,"jerkstore","cliffracer","floodkiller","pinechild","thalamas","worldfamousw","","","X","","","","","X","","","X","","","X","","","X","","","X","","","","X","","","X","X","","","","","","","","X","","X","","","X","","","X","","X","","","X","","","X","","","X","","","X","","","","","","","","X","","X","","","","X"
"Single Serving (fearitself)",339.217,45,3783,68,"fearitself",NA,NA,NA,NA,NA,"","X","","","","","","X","","X","","","","X","","X","","","","X","","","","","","","X","X","","","X","","","X","","","","","X","","X","","","X","","X","","","","X","","X","","","","","","X","","","X","","","","X","","","","X","","","X"
"Tlon Uqbar Orbis Zotii (rgaf)",321.132,46,4640,59,"rgaf","xxsatanxx","chrlz","mirrorencyclopedia",NA,NA,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","X","","","X","","","","","X","X","","","","","X","","X","","X","","","X","","","X","","","","","","X","","","X","","","","X","","","","X","","","X"
"Ashenzari Not Sorry (rwhughston)",315.582,47,7953,26,"rwhughston","frostedmuffins","bookman","downpour","nestalgia","thrayn","","","X","X","","","","X","","X","","","","X","","","X","","","X","","","X","","","","X","X","","","X","","","","X","","","","X","","X","","","","","X","","","X","","","","X","","","","","X","","","","","","","","X","","","X","","","X"
"Android Netcrawlers (tmoiynmwg)",307.256,48,5670,50,"tmoiynmwg","ponce","simonmoon","miek","thesubatomic",NA,"","","X","","","","X","","","X","","","","X","","","X","","","X","","","","X","","X","","X","","","","","","","","","","X","","","","X","","","","X","","","","X","","X","","","","","","X","","","","","","","X","","","X","","","X",""
