"Name","Score","Rank","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III"
"Vajrapani",242.785,72,"","X","","","","","X","","","X","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","X","","X","","","","","","","","X","","","X","","","","X","","","","","","X","","X","","","","X","","","",""
"Langoroth",241.57,73,"","","X","X","","","X","","","X","","","X","","","","","X","","X","","X","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","X","","","X","","","X","","","","X","","","X","","","","X"
"DEFE",239.563,74,"","X","","X","","","","X","","","","X","X","","","","","X","","X","","","","","X","","","","","","","","","","X","","","","X","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","","X"
"glosham",238.272,75,"","X","","X","","","X","","","","","","","X","","","X","","","X","","","X","","X","","","","","","","","","","","","","","X","","X","","","","","X","","","X","","","","","X","","","","X","","","","X","","","X","","","X","","","","X"
"Shard1697",231.963,76,"","","X","X","","","X","","","","X","","","X","","","X","","","X","","","","","","X","","X","","","","","","","","X","","","X","","","X","","X","","","","","","X","","","X","","","","","","","","","","","X","","","","X","","","","X"
"hihot",231.6,77,"","X","","X","","","X","","","X","","","","X","","X","","","","X","","","","","X","","","","X","","X","","","","","X","X","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","X","",""
"mibe",230.123,78,"","","X","X","","","","","X","","","X","","X","","","X","","","X","","","","","","","X","X","","","","","","","","","","","X","","","X","","X","","","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","X"
"pleonasm",224.373,79,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","X","","","","","","","","","","X","","","","X","","X","","","X","","X","","","X","","","","","","X","","","","","","","","X","","X","","","","X"
"Doesnt",222.84,80,"","","X","","","","","X","","X","","","","X","","","X","","","X","","","","","","X","","X","","","","","","","","X","","","","","","X","","","","X","","","","X","","","X","","","","","X","","","X","","","X","","","","X","","","","X"
"alcopop",219.356,81,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","","X","X","","","X","","","","","X","","","X","","","X","","","","X","","","X","","","X","","","","","","X","","","X","","","X","","","","","X","","","X"
"caco",218.604,82,"","","X","X","","","","","X","","X","","","X","","","X","","","X","","","","","","","X","X","","","","","","X","","","","","X","","","X","X","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"cerealjynx",215.919,83,"","","X","X","","","","X","","","","","","X","","","X","","","X","","","","","X","","","X","","","","","","","X","","","","","","X","","","X","","","X","","","X","","X","","","","","","X","","","","","","","X","","","X","","","","X"
"palyth",209.445,84,"","","X","X","","","X","","","X","","","","X","","","X","","","X","","","X","","","","X","","","","X","","","","","X","","X","","","","X","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","","","X","","","X"
"rchandra",207.044,85,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","","","X","","","","","X","","","","","","","","X","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","","","X","","","X","","","X"
"Artagas",202.189,86,"","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","X","","","","","","","","","X","","","X","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","X","","","X",""
"Ge0ff",201.925,87,"","","X","X","","","","","X","","X","","","X","","","X","","","X","","","","","","","X","","","","","","","","","","","","X","","X","","","","","","","","X","","","X","","","","","","","","","","","","","","X","","X","","","","X"
"Faldahar",200.212,88,"","","X","X","","","","X","","X","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","X","","","","X","","","","X","X","","","X","","","X","","","","","","","","","","","","X","","","","X","","","","X"
"zlionsfan",198.863,89,"X","","","X","","","X","","","X","","","","","X","X","","","X","","","X","","","","X","","X","","","X","","","","","","X","","","X","","","","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","","","X","",""
"kfa408",198.62,90,"X","","","","","","X","","","","","","X","","","","","","","X","","X","","","X","","","","X","","","","","","","X","X","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"NorthaanB",196.814,91,"","","X","X","","","","X","","","X","","","X","","","X","","","X","","","","X","","X","","","","","X","","","","","X","","","X","","X","","","X","","","","","","","","X","","","","","","","","","","","","X","","","","X","","","","X"
"Danakh",196.8,92,"","X","","","","","X","","","X","","","","X","","","X","","","X","","","X","","X","","","X","","","","","","","","","","","X","","X","","X","","","","X","","X","","","","","X","","","","X","","","","","","","X","","","X","","","","X"
"fazisi",196.071,93,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","","","X","","","","","X","","","","","X","X","","","","X","","","X","","X","","","","","","X","","","","X","","X","","","","","","X","","","","X","","","","X"
"GordonOverkill",195.808,94,"","","X","X","","","","","X","","X","","","X","","","X","","","X","","","","","","","X","X","","","","","","","","X","","X","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","X","","","X"
"kevinyang101",195.108,95,"","","X","X","","","X","","","X","","","X","","","","X","","","X","","","","","","","","X","","","X","","","","","","X","","","","X","","","","","","X","","","","","","X","","","","","","","","X","","","","","X","","X","","","","X"
